TPMOSI,18.29,33.79,0.00,TPTP20R,TP20R
TPRX,15.29,73.39,0.00,TPTP20R,TP20R
TPSCK,15.41,33.79,0.00,TPTP20R,TP20R
TPTX,11.34,73.41,0.00,TPTP20R,TP20R
TPVBAT,133.31,60.19,0.00,TPTP20R,TP20R
TPVBUS,151.07,58.31,0.00,TPTP20R,TP20R
U1,41.69,57.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,17.26,56.80,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.60,56.35,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,134.30,53.72,0.00,MAX17048G+T10,SON50P200X200X80-9N
